r002,r003,r004,r005,r006,label
9279324,10114778,88989,48,148657,maligne
9239963,10188109,87573,45,151271,maligne
9658437,10118235,89429,44,150520,maligne
9190669,10531062,81976,44,149565,maligne
9254682,10292579,87618,45,148889,maligne
9275405,10229887,81485,44,150063,maligne
9262614,9990757,86253,46,151157,maligne
9304022,10112407,89460,45,150170,maligne
9261442,10659373,92873,44,150568,maligne
9294862,10412667,91053,47,150882,maligne
9255063,10200821,86557,43,148188,maligne
9325588,10444607,90230,44,150950,maligne
9405993,10153469,93340,41,150821,maligne
9171516,10440347,93116,46,151467,maligne
9190960,9452809,90863,43,150493,maligne
9249899,10187575,88119,45,150832,maligne
9641106,10323145,94324,45,151808,maligne
9227944,10200616,90425,43,150647,maligne
9356188,10292746,90392,42,149247,maligne
9249710,10260597,90007,43,150174,maligne
9211731,10266411,85273,47,151081,maligne
9288256,9462138,92783,66,150627,maligne
9235026,10170160,88699,43,154913,maligne
9272147,10207163,91094,43,150462,maligne
9239083,10094701,87651,44,148121,maligne
9166837,10203622,91607,43,149194,maligne
9252679,10228600,90966,48,149220,maligne
9252978,10189993,89125,43,151256,maligne
9248780,9433712,89450,43,149955,maligne
9277461,10384011,84711,44,149460,maligne
9212338,10061485,90469,45,149738,maligne
9287676,10069087,87615,46,148473,maligne
9262824,10185488,95550,43,150978,maligne
9285771,9311027,91401,42,150453,maligne
9246951,10112198,87165,44,149096,maligne
9280356,10165524,91879,46,150181,maligne
9235899,10076834,87348,45,146920,maligne
9632529,10309413,92141,45,176771,maligne
9181704,10349249,88212,44,149702,maligne
9331824,10275584,90839,45,148272,maligne
9292043,10233959,92352,43,149316,maligne
9183911,10272047,88673,45,150309,maligne
9263793,10272805,90121,46,149431,maligne
9658755,10177217,88086,42,150118,maligne
9287686,10575212,93757,46,148858,maligne
9324371,10243793,89398,43,149523,maligne
9221135,10071279,87216,44,148821,maligne
9324895,10293025,93221,43,146623,maligne
9656976,10259567,90680,48,148962,maligne
