combo,benigne,maligne,maligno_ratio
"(1, 3, 3, 3, 4)",9,0,0.0
"(1, 3, 4, 4, 3)",3,0,0.0
"(1, 3, 1, 4, 4)",8,0,0.0
"(3, 2, 2, 2, 3)",1,0,0.0
"(3, 2, 2, 3, 3)",1,0,0.0
"(3, 2, 2, 4, 2)",1,0,0.0
"(3, 2, 2, 4, 3)",9,0,0.0
"(3, 2, 3, 1, 3)",10,0,0.0
"(3, 2, 3, 2, 3)",21,0,0.0
"(3, 2, 3, 3, 2)",3,0,0.0
"(3, 2, 3, 4, 2)",31,0,0.0
"(3, 2, 4, 1, 4)",1,0,0.0
"(1, 3, 4, 4, 4)",6,0,0.0
"(1, 4, 1, 1, 3)",381,0,0.0
"(1, 4, 1, 1, 4)",490,0,0.0
"(1, 4, 2, 2, 3)",20,0,0.0
"(3, 3, 1, 1, 1)",31,0,0.0
"(3, 3, 1, 1, 2)",31,0,0.0
"(3, 3, 1, 2, 1)",15,0,0.0
"(3, 3, 1, 2, 2)",6,0,0.0
"(3, 3, 1, 3, 1)",4,0,0.0
"(1, 2, 3, 4, 3)",5,0,0.0
"(1, 2, 3, 4, 4)",1,0,0.0
"(1, 2, 4, 4, 4)",4,0,0.0
"(1, 3, 1, 4, 3)",1,0,0.0
"(2, 4, 1, 3, 4)",2,0,0.0
"(2, 4, 2, 2, 4)",1,0,0.0
"(1, 3, 3, 1, 3)",4,0,0.0
"(1, 4, 2, 1, 3)",230,0,0.0
"(1, 4, 2, 1, 4)",608,0,0.0
"(1, 4, 3, 1, 3)",114,0,0.0
"(3, 3, 1, 4, 3)",1,0,0.0
"(3, 3, 2, 1, 1)",151,0,0.0
"(3, 3, 2, 2, 1)",53,0,0.0
"(3, 3, 2, 2, 2)",50,0,0.0
"(3, 3, 2, 3, 2)",43,0,0.0
