combo,benigne,maligne
"(1, 2, 1, 2, 4)",3,0
"(3, 3, 3, 1, 2)",35,0
"(2, 1, 1, 1, 1)",2,0
"(2, 2, 1, 1, 4)",7,0
"(2, 2, 1, 2, 3)",6,0
"(2, 2, 1, 3, 3)",2,0
"(2, 2, 1, 4, 3)",1,0
"(2, 2, 2, 1, 4)",3,0
"(2, 2, 2, 2, 3)",5,0
"(2, 2, 2, 3, 4)",1,0
"(1, 2, 1, 4, 3)",1,0
"(1, 2, 2, 1, 4)",11,0
"(3, 4, 1, 4, 4)",1,0
"(3, 4, 2, 1, 1)",218,0
"(3, 4, 2, 2, 1)",65,0
"(2, 2, 3, 1, 3)",12,0
"(2, 2, 3, 2, 3)",1,0
"(2, 2, 3, 3, 4)",3,0
"(4, 1, 2, 3, 4)",34,0
"(4, 1, 2, 4, 2)",1,0
"(1, 1, 4, 4, 4)",18,0
"(3, 4, 3, 1, 1)",47,0
"(3, 4, 3, 1, 2)",238,0
"(3, 4, 3, 2, 1)",10,0
"(3, 4, 3, 3, 1)",3,0
"(3, 4, 4, 2, 2)",1,0
"(1, 2, 1, 3, 4)",2,0
"(2, 1, 3, 4, 4)",64,0
"(1, 4, 3, 3, 3)",30,0
"(1, 4, 3, 3, 4)",25,0
"(1, 4, 3, 4, 4)",12,0
"(1, 4, 4, 1, 3)",1,0
"(2, 1, 3, 3, 3)",1,0
"(1, 4, 4, 4, 4)",1,0
"(4, 1, 3, 4, 2)",54,0
"(4, 1, 3, 4, 3)",24,0
"(4, 1, 3, 4, 4)",81,0
"(3, 4, 4, 3, 2)",2,0
"(3, 4, 4, 4, 4)",47,0
"(4, 1, 1, 1, 3)",1,0
"(4, 1, 1, 2, 3)",1,0
"(4, 1, 1, 3, 3)",3,0
"(4, 1, 1, 4, 4)",1,0
"(4, 1, 2, 1, 2)",1,0
"(4, 1, 2, 1, 3)",3,0
"(4, 1, 2, 1, 4)",11,0
"(4, 1, 2, 2, 3)",1,0
"(4, 1, 2, 2, 4)",3,0
"(4, 1, 2, 3, 2)",2,0
"(4, 1, 2, 3, 3)",3,0
"(4, 2, 1, 2, 3)",1,0
"(4, 2, 1, 3, 1)",149,0
"(4, 2, 1, 3, 2)",39,0
"(4, 1, 2, 4, 3)",2,0
"(4, 1, 2, 4, 4)",2,0
"(4, 1, 3, 1, 1)",2,0
"(4, 1, 3, 1, 2)",10,0
"(4, 1, 3, 1, 3)",3,0
"(4, 1, 3, 1, 4)",2,0
"(4, 1, 3, 2, 2)",7,0
"(4, 1, 3, 2, 3)",2,0
"(4, 1, 3, 2, 4)",5,0
"(4, 1, 3, 3, 2)",16,0
"(4, 1, 3, 3, 3)",13,0
"(4, 1, 3, 3, 4)",26,0
"(4, 1, 3, 4, 1)",1,0
"(4, 2, 2, 2, 2)",25,0
"(4, 2, 2, 3, 1)",39,0
"(4, 2, 2, 3, 2)",29,0
"(4, 2, 2, 3, 3)",3,0
"(4, 2, 2, 4, 2)",7,0
"(4, 2, 2, 4, 3)",4,0
"(4, 1, 4, 1, 2)",1,0
"(4, 1, 4, 3, 2)",1,0
"(4, 1, 4, 4, 2)",4,0
"(4, 1, 4, 4, 3)",31,0
"(4, 1, 4, 4, 4)",40,0
"(4, 2, 1, 1, 1)",213,0
"(4, 2, 1, 1, 2)",91,0
"(4, 2, 1, 1, 3)",2,0
"(4, 2, 1, 2, 1)",188,0
"(4, 2, 1, 2, 2)",48,0
"(4, 2, 3, 2, 3)",7,0
"(4, 2, 3, 2, 4)",3,0
"(4, 2, 3, 3, 1)",19,0
"(4, 2, 3, 3, 2)",25,0
"(4, 2, 3, 3, 3)",21,0
"(4, 2, 3, 3, 4)",18,0
"(4, 2, 3, 4, 1)",1,0
"(4, 2, 3, 4, 2)",1544,0
"(4, 2, 3, 4, 3)",58,0
"(4, 2, 1, 3, 3)",3,0
"(4, 2, 1, 4, 1)",13,0
"(4, 2, 1, 4, 2)",1,0
"(4, 2, 2, 1, 1)",81,0
"(4, 2, 2, 1, 2)",58,0
"(4, 2, 2, 1, 3)",2,0
"(4, 2, 2, 2, 1)",68,0
"(2, 1, 1, 1, 2)",1,0
"(2, 1, 1, 2, 1)",165,0
"(2, 1, 1, 2, 2)",30,0
"(2, 1, 1, 3, 1)",328,0
